TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
172.373333333,-150.539,5.36663,-3.49189,4.84973,-0.294654,1.75795,-4.53578,3.10248,3.80724,7.70653,9.05064,4.76569,4.9085,-2.75109,0.514725,0.553764,-0.335391,2.00334,0.956618,3.16132,2.26368
172.394666667,-147.902,8.74698,-5.0386,6.51562,-0.616627,0.959432,-6.01145,1.32367,5.22039,5.50455,4.87357,3.32831,3.47039,0.754474,-1.14727,0.348123,1.23181,1.35943,0.150421,1.85243,1.24557
172.416000000,-149.882,9.51673,-3.80682,9.80538,2.31847,-0.70361,-4.08373,1.16364,2.26598,4.62151,5.04361,2.13771,1.90625,-1.26426,-1.10756,0.597434,0.618057,1.39434,0.0785506,2.21054,2.13488
172.437333333,-148.729,11.9531,-4.98607,7.51198,1.58953,2.16381,-5.08366,3.25524,4.30429,4.18517,5.4905,0.919934,0.962857,0.700905,0.845842,0.84483,-0.847843,0.985071,1.31175,3.59503,2.79117
172.458666667,-151.361,10.9538,-6.80928,5.47781,1.32891,-0.534785,-4.41711,3.50725,7.05907,6.43429,5.09597,3.76425,2.27291,2.43888,1.06337,1.06688,1.81406,1.61405,-0.690068,1.8459,0.407723
172.480000000,-157.89,11.137,-7.00065,2.79472,0.722351,2.34411,-2.47689,2.76564,4.21189,5.19444,5.17516,1.46614,-1.65436,-1.28773,0.875319,1.72146,1.84502,3.67659,4.19885,3.32134,2.04136
172.501333333,-112.259,3.07742,1.7847,8.14312,0.246715,1.03775,-0.24065,-2.01538,-2.77236,0.146019,1.92741,3.26855,1.60774,1.19925,1.36431,-0.367471,-2.88815,0.910444,1.12444,-0.484359,-0.374572
172.522666667,-131.762,3.94941,3.84551,2.31037,4.60215,1.55517,-0.0699823,2.79484,1.70407,2.41536,3.17481,-1.05017,-3.30738,-3.30504,0.428815,-0.626607,1.19864,1.15027,0.0129859,1.89953,1.80117
172.544000000,-131.179,-1.86863,-1.59882,1.88178,1.25302,-2.25376,-2.85636,-0.754425,1.33236,1.5479,2.77067,1.57977,0.037089,-2.34699,-0.594443,-0.555299,-1.73527,0.302497,0.233479,1.23113,-0.370551
172.565333333,-135.545,-1.9499,-3.04935,0.42988,-0.938911,-1.64789,-1.9488,-1.67841,3.60864,1.13697,1.30251,0.972465,1.42923,0.168317,0.689865,1.17329,-0.911655,0.0655352,-1.81556,1.50467,0.744432
172.586666667,-141.679,-1.25315,-2.53782,-0.667142,0.759799,-1.20714,-2.68556,-0.15212,3.98054,3.97904,1.49731,0.791629,-0.672633,-1.66951,0.0902355,1.74179,-1.52782,0.633476,1.93735,5.61626,1.95102
172.608000000,-143.536,-0.552167,-3.86067,-0.437844,0.344245,-1.09577,0.772573,0.797304,0.528063,3.32282,3.46799,0.153337,0.676667,-2.66305,-2.60016,1.40208,1.49362,-0.699548,0.0925522,2.76417,1.35375
172.629333333,-144.337,2.64081,-5.8392,3.70975,2.68886,4.53661,-0.889127,-0.585922,1.58638,2.08379,4.19501,3.31103,2.52822,-0.796832,0.134481,1.96614,1.79631,2.70809,0.213059,0.831101,0.216984
172.650666667,-138.015,2.8115,-0.0776595,2.77722,4.21428,-1.85358,-3.00224,2.18396,3.14918,2.05198,2.38791,-0.847717,0.40378,0.166917,-2.66001,1.18572,1.0446,1.71682,2.04552,5.72382,1.98579
172.672000000,-149.146,3.98081,-4.05593,1.81544,1.30591,-2.48868,-5.19648,1.91248,1.06059,2.34994,4.21064,1.1312,3.25811,-0.530758,-3.35756,0.0760623,1.65773,2.90738,1.93052,5.89892,1.91397
172.693333333,-147.886,6.11518,-0.460374,3.14696,1.78519,1.56938,0.916521,2.38106,3.93705,5.75819,4.55759,-0.952452,-1.6829,-3.43194,-2.28557,-1.103,1.79397,2.39772,1.66578,5.82199,3.46679
172.714666667,-146.32,8.99226,0.435072,0.693551,3.5327,-3.56294,-2.27461,1.77597,5.32071,2.94402,2.05226,-1.29463,0.0795171,-3.17503,-1.80692,0.00405199,1.51012,5.0004,1.58062,3.52595,1.50643
172.736000000,-148.637,8.44401,0.0181478,2.01377,1.37342,-3.91719,-2.47622,-0.27226,2.42799,4.93884,2.84095,-0.576292,-2.60929,-3.33556,-3.31607,0.520512,2.53708,2.47895,1.46849,1.41073,3.46479
172.757333333,-148.062,7.04286,-2.84148,1.91466,4.30205,-0.355229,-2.26307,1.78651,4.91598,3.31854,2.76294,-1.88804,-0.408361,-2.90791,-2.23064,1.02581,1.01728,0.168143,0.436569,2.97743,4.55381
172.778666667,-148.478,8.08023,-0.881933,0.0902381,6.45169,1.37046,-1.12151,-0.609198,0.0543992,-0.402516,4.43152,1.65442,-1.14153,-0.781962,0.269367,-1.0417,0.335763,-1.65751,1.23817,2.97192,3.0369
172.800000000,-148.575,6.51534,-2.53787,1.38515,5.92863,3.12894,0.246937,1.06757,2.38916,0.479314,1.19644,-0.164166,-2.48064,-3.24001,-1.97655,0.195992,3.69292,1.47549,2.90157,4.03942,0.750445
172.821333333,-139.819,-3.13065,1.73282,-2.03138,6.51512,1.28908,-0.690798,-0.556616,5.66386,3.27112,2.32113,0.133564,-1.50553,-4.95684,-0.994864,2.1088,0.577866,-0.413546,2.97246,3.78081,2.27676
172.842666667,-128.835,-2.77959,2.75521,-0.782008,5.96704,0.319983,0.926698,-0.440706,1.01795,1.92782,3.3956,1.37884,-1.66804,-3.72022,0.043133,2.79154,0.60844,-1.11272,0.0522838,1.25791,1.44133
172.864000000,-139.369,0.289528,-2.88494,-4.32167,0.407428,-1.00046,-0.366104,2.56518,4.51378,1.99073,4.21276,2.60715,1.31085,-2.27236,0.2966,2.97452,-0.203926,0.181122,1.19491,3.02564,2.4935
172.885333333,-134.792,1.7624,2.94455,-0.82272,3.56252,1.43586,1.52469,0.992884,2.4796,3.10498,3.57501,2.12598,-0.678571,-1.41403,-0.587687,2.09755,0.472586,0.208654,-1.41826,2.93288,1.32485
172.906666667,-140.696,1.52611,-0.81295,3.13558,8.39551,3.0786,-2.76839,-0.39838,3.0035,2.9577,3.1221,4.02278,2.70797,1.36774,2.38469,1.68045,0.543157,1.83972,0.563084,3.16545,2.65521
172.928000000,-143.358,3.00969,-0.38335,4.78153,8.84413,1.37891,-3.32849,0.736289,3.41253,4.08349,2.29533,0.792564,0.829525,-0.217203,-1.65247,0.0209251,-0.123538,-0.703087,0.110864,4.02191,1.85614
172.949333333,-145.271,3.69586,1.218,3.17605,6.77893,3.22105,-2.09081,0.818568,4.51931,3.38585,1.69617,-0.772089,2.14154,0.663405,2.67189,3.28015,1.52263,1.54565,2.09336,4.31021,-0.972603
172.970666667,-148.178,6.08682,-0.549466,4.04643,6.47549,0.956415,-2.089,1.54429,0.998281,2.97625,2.27682,-1.84089,-0.993979,1.26826,4.49177,4.08987,-1.52285,2.02707,4.71977,2.347,-1.3995
172.992000000,-128.229,5.33297,-1.61004,6.35718,1.35534,0.42367,-2.07198,1.23092,2.06667,-0.945134,0.545853,0.430116,1.83712,0.863852,-0.700896,1.54922,0.284143,1.62024,-0.0193304,0.66614,-1.40855
173.013333333,-149.941,11.5259,-0.00409835,7.47533,9.56549,1.95059,-1.42872,2.88218,2.03576,2.60254,2.06538,1.63512,2.75176,-0.652446,2.12455,3.56067,3.36759,3.53811,-2.32152,-0.413605,-0.103388
173.034666667,-161.925,20.3843,3.73413,3.15903,4.34203,1.74104,-0.0526159,2.72517,0.447108,3.38786,2.42063,2.31026,0.997158,2.12756,3.93166,4.53192,3.97131,3.64239,0.312123,1.51621,-0.687676
173.056000000,-163.56,15.3228,0.606413,4.52865,4.74298,-0.452718,-2.10541,0.846178,1.12677,3.3997,1.04411,-0.55672,1.34771,-0.0120961,0.251843,1.5717,-1.11545,1.10229,1.19213,2.83202,0.727384
